Side,Time
S,2018-01-08 01:11:23
S,2018-01-08 01:11:48
B,2018-01-08 01:11:51
S,2018-01-08 01:12:08
S,2018-01-08 01:12:15
S,2018-01-08 01:13:01
S,2018-01-08 01:14:09
B,2018-01-08 01:15:05
S,2018-01-08 01:15:13
S,2018-01-08 01:16:14
B,2018-01-08 01:16:30
B,2018-01-08 01:18:27
S,2018-01-08 01:18:38
S,2018-01-08 01:18:47
S,2018-01-08 01:19:08
S,2018-01-08 01:19:18
S,2018-01-08 01:19:36
S,2018-01-08 01:19:53
B,2018-01-08 01:20:07
S,2018-01-08 01:20:55
S,2018-01-08 01:21:36
B,2018-01-08 01:22:32
B,2018-01-08 01:23:05
B,2018-01-08 01:23:19
B,2018-01-08 01:24:40
S,2018-01-08 01:24:53
S,2018-01-08 01:25:38
S,2018-01-08 01:25:53
S,2018-01-08 01:26:06
S,2018-01-08 01:26:34
S,2018-01-08 01:26:41
B,2018-01-08 01:28:19
S,2018-01-08 01:29:24
B,2018-01-08 01:30:15
B,2018-01-08 01:30:38
S,2018-01-08 01:31:00
B,2018-01-08 01:31:25
S,2018-01-08 01:31:26
B,2018-01-08 01:31:27
S,2018-01-08 01:31:34
B,2018-01-08 01:31:49
S,2018-01-08 01:31:54
S,2018-01-08 01:32:07
S,2018-01-08 01:32:19
S,2018-01-08 01:32:44
S,2018-01-08 01:34:44
B,2018-01-08 01:35:13
B,2018-01-08 01:36:36
B,2018-01-08 01:36:44
S,2018-01-08 01:36:47
B,2018-01-08 01:37:07
S,2018-01-08 01:37:19
S,2018-01-08 01:37:58
B,2018-01-08 01:38:02
B,2018-01-08 01:38:17
S,2018-01-08 01:39:04
B,2018-01-08 01:39:42
S,2018-01-08 01:40:25
S,2018-01-08 01:41:01
S,2018-01-08 01:41:16
S,2018-01-08 01:42:13
S,2018-01-08 01:42:40
B,2018-01-08 01:43:04
B,2018-01-08 01:43:34
S,2018-01-08 01:44:14
S,2018-01-08 01:44:57
B,2018-01-08 01:45:02
B,2018-01-08 01:45:04
S,2018-01-08 01:45:11
B,2018-01-08 01:46:35
S,2018-01-08 01:47:21
B,2018-01-08 01:47:23
S,2018-01-08 01:48:05
B,2018-01-08 01:48:07
S,2018-01-08 01:48:21
B,2018-01-08 01:48:23
B,2018-01-08 01:48:42
S,2018-01-08 01:49:14
B,2018-01-08 01:49:47
S,2018-01-08 01:50:26
B,2018-01-08 01:50:56
S,2018-01-08 01:52:25
B,2018-01-08 01:52:30
S,2018-01-08 01:52:39
B,2018-01-08 01:53:52
S,2018-01-08 01:53:57
B,2018-01-08 01:55:12
S,2018-01-08 01:55:19
S,2018-01-08 01:55:45
S,2018-01-08 01:56:06
B,2018-01-08 01:56:40
S,2018-01-08 01:56:42
B,2018-01-08 01:57:46
S,2018-01-08 01:57:52
B,2018-01-08 01:58:03
S,2018-01-08 01:58:12
B,2018-01-08 01:59:12
B,2018-01-08 01:59:21
S,2018-01-08 01:59:52
B,2018-01-08 02:00:09
B,2018-01-08 02:00:15
S,2018-01-08 02:00:23
B,2018-01-08 02:00:38
B,2018-01-08 02:00:44
B,2018-01-08 02:01:41
S,2018-01-08 02:02:02
B,2018-01-08 02:02:03
S,2018-01-08 02:02:28
B,2018-01-08 02:03:31
B,2018-01-08 02:03:34
B,2018-01-08 02:03:47
S,2018-01-08 02:04:05
B,2018-01-08 02:04:11
B,2018-01-08 02:05:01
S,2018-01-08 02:05:05
B,2018-01-08 02:05:42
S,2018-01-08 02:05:58
S,2018-01-08 02:06:59
B,2018-01-08 02:07:09
S,2018-01-08 02:08:08
B,2018-01-08 02:08:17
S,2018-01-08 02:09:03
S,2018-01-08 02:09:22
B,2018-01-08 02:10:09
S,2018-01-08 02:10:15
S,2018-01-08 02:11:03
S,2018-01-08 02:12:35
S,2018-01-08 02:12:55
S,2018-01-08 02:13:05
B,2018-01-08 02:13:10
S,2018-01-08 02:13:42
B,2018-01-08 02:13:58
S,2018-01-08 02:14:28
B,2018-01-08 02:14:31
B,2018-01-08 02:14:43
S,2018-01-08 02:14:54
S,2018-01-08 02:15:14
S,2018-01-08 02:15:26
B,2018-01-08 02:15:44
S,2018-01-08 02:15:45
B,2018-01-08 02:15:54
B,2018-01-08 02:17:44
B,2018-01-08 02:17:50
S,2018-01-08 02:18:01
S,2018-01-08 02:18:21
B,2018-01-08 02:18:42
B,2018-01-08 02:18:43
S,2018-01-08 02:19:24
B,2018-01-08 02:19:26
S,2018-01-08 02:19:33
B,2018-01-08 02:19:34
S,2018-01-08 02:21:11
B,2018-01-08 02:21:18
S,2018-01-08 02:21:26
B,2018-01-08 02:21:30
S,2018-01-08 02:21:43
S,2018-01-08 02:22:02
B,2018-01-08 02:23:17
B,2018-01-08 02:23:21
S,2018-01-08 02:23:31
B,2018-01-08 02:24:40
S,2018-01-08 02:25:26
B,2018-01-08 02:26:17
S,2018-01-08 02:26:21
S,2018-01-08 02:27:42
S,2018-01-08 02:27:48
S,2018-01-08 02:27:56
S,2018-01-08 02:28:01
S,2018-01-08 02:30:20
B,2018-01-08 02:31:21
B,2018-01-08 02:31:50
B,2018-01-08 02:31:57
S,2018-01-08 02:32:21
S,2018-01-08 02:32:30
S,2018-01-08 02:33:39
S,2018-01-08 02:33:56
B,2018-01-08 02:34:06
B,2018-01-08 02:34:38
S,2018-01-08 02:36:24
B,2018-01-08 02:36:41
B,2018-01-08 02:36:49
S,2018-01-08 02:36:51
B,2018-01-08 02:37:22
S,2018-01-08 02:37:28
B,2018-01-08 02:37:33
S,2018-01-08 02:38:01
S,2018-01-08 02:38:17
S,2018-01-08 02:38:33
S,2018-01-08 02:38:51
B,2018-01-08 02:39:10
S,2018-01-08 02:39:25
S,2018-01-08 02:40:53
S,2018-01-08 02:41:08
B,2018-01-08 02:41:52
S,2018-01-08 02:42:03
B,2018-01-08 02:42:21
S,2018-01-08 02:42:35
B,2018-01-08 02:43:23
B,2018-01-08 02:44:17
S,2018-01-08 02:45:52
B,2018-01-08 02:45:57
S,2018-01-08 02:47:00
S,2018-01-08 02:47:45
S,2018-01-08 02:48:37
B,2018-01-08 02:48:40
B,2018-01-08 02:49:18
S,2018-01-08 02:51:53
S,2018-01-08 02:51:54
B,2018-01-08 02:53:00
S,2018-01-08 02:53:15
S,2018-01-08 02:53:48
S,2018-01-08 02:54:20
B,2018-01-08 02:54:50
B,2018-01-08 02:54:52
B,2018-01-08 02:55:47
S,2018-01-08 02:57:13
S,2018-01-08 02:57:29
S,2018-01-08 02:57:36
B,2018-01-08 02:57:43
S,2018-01-08 02:57:46
S,2018-01-08 02:58:09
S,2018-01-08 02:58:39
S,2018-01-08 02:59:07
B,2018-01-08 02:59:24
B,2018-01-08 02:59:38
S,2018-01-08 03:00:00
B,2018-01-08 03:00:36
B,2018-01-08 03:01:24
S,2018-01-08 03:03:49
S,2018-01-08 03:03:53
B,2018-01-08 03:04:28
S,2018-01-08 03:05:22
B,2018-01-08 03:05:30
S,2018-01-08 03:07:38
B,2018-01-08 03:09:03
S,2018-01-08 03:10:27
B,2018-01-08 03:10:44
B,2018-01-08 03:11:11
B,2018-01-08 03:12:40
S,2018-01-08 03:12:47
B,2018-01-08 03:13:14
B,2018-01-08 03:14:33
S,2018-01-08 03:15:01
S,2018-01-08 03:15:06
B,2018-01-08 03:16:02
B,2018-01-08 03:16:04
S,2018-01-08 03:16:06
S,2018-01-08 03:16:21
S,2018-01-08 03:17:22
S,2018-01-08 03:17:30
S,2018-01-08 03:17:35
B,2018-01-08 03:17:45
S,2018-01-08 03:17:52
B,2018-01-08 03:18:03
B,2018-01-08 03:18:36
B,2018-01-08 03:19:42
S,2018-01-08 03:19:43
B,2018-01-08 03:20:07
B,2018-01-08 03:20:11
S,2018-01-08 03:20:30
B,2018-01-08 03:20:36
B,2018-01-08 03:21:25
S,2018-01-08 03:21:40
